k1 = 2, k2 = 5, k3 = 8, a11 = -1, a12 = 0, a13 = -8, a21 = 0, a22 = 0, a23 = -4, a31 = 0, a32 = -2, a33 = 0, b12 = -3, b13 = 16, b23 = 0
k1 = 2, k2 = 5, k3 = 8, a11 = -1, a12 = 0, a13 = -8, a21 = 0, a22 = 0, a23 = 4, a31 = 2, a32 = 0, a33 = 0, b12 = -3, b13 = 16, b23 = 0
k1 = 2, k2 = 5, k3 = 8, a11 = -1, a12 = 0, a13 = -8, a21 = 0, a22 = 0, a23 = -4, a31 = 2, a32 = 0, a33 = 0, b12 = -3, b13 = 16, b23 = 0
k1 = 1, k2 = 5, k3 = 10, a11 = 2, a12 = -2, a13 = 4, a21 = -2, a22 = -4, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = 1, b13 = -32, b23 = -1
k1 = 1, k2 = 5, k3 = 9, a11 = 3, a12 = -2, a13 = 4, a21 = -2, a22 = -4, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = 1, b13 = -16, b23 = -1
k1 = 1, k2 = 5, k3 = 8, a11 = 2, a12 = -4, a13 = 4, a21 = -2, a22 = -4, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = 1, b13 = -8, b23 = -1
k1 = 1, k2 = 5, k3 = 8, a11 = 2, a12 = -2, a13 = 4, a21 = -2, a22 = -4, a23 = 0, a31 = -4, a32 = 0, a33 = 0, b12 = 1, b13 = -8, b23 = -1
k1 = 1, k2 = 5, k3 = 8, a11 = 4, a12 = -2, a13 = 4, a21 = -2, a22 = -4, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = 1, b13 = -8, b23 = -1
k1 = 3, k2 = 5, k3 = 7, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = -4, a31 = 1, a32 = 4, a33 = -2, b12 = 1, b13 = -8, b23 = 0
k1 = 3, k2 = 5, k3 = 7, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = -4, a31 = -1, a32 = 4, a33 = -2, b12 = -1, b13 = -8, b23 = 0
k1 = 3, k2 = 5, k3 = 8, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = -2, a31 = -1, a32 = 4, a33 = -3, b12 = -1, b13 = -16, b23 = 0
k1 = 3, k2 = 5, k3 = 9, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -1, a32 = 4, a33 = -4, b12 = -1, b13 = -32, b23 = 0
k1 = 3, k2 = 5, k3 = 9, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = -1, a23 = 2, a31 = -2, a32 = 1, a33 = -2, b12 = -2, b13 = -32, b23 = 0
k1 = 3, k2 = 5, k3 = 9, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 1, a31 = -2, a32 = 0, a33 = -5, b12 = -2, b13 = -32, b23 = 0
k1 = 3, k2 = 5, k3 = 9, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 3, a31 = -2, a32 = 0, a33 = -3, b12 = -2, b13 = -32, b23 = 0
k1 = 3, k2 = 5, k3 = 11, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 2, a31 = -2, a32 = 0, a33 = -2, b12 = -2, b13 = -128, b23 = 0
k1 = 3, k2 = 7, k3 = 9, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 4, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -8, b23 = 0
k1 = 3, k2 = 7, k3 = 9, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 2, a31 = -2, a32 = 0, a33 = -2, b12 = -2, b13 = -8, b23 = 0
k1 = 3, k2 = 6, k3 = 10, a11 = -4, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 2, a31 = -2, a32 = 0, a33 = -2, b12 = -2, b13 = -32, b23 = 0
k1 = 3, k2 = 8, k3 = 11, a11 = -5, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -16, b23 = 0
k1 = 3, k2 = 8, k3 = 10, a11 = -6, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -8, b23 = 0
k1 = 3, k2 = 7, k3 = 11, a11 = -6, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -32, b23 = 0
k1 = 3, k2 = 7, k3 = 12, a11 = -5, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -64, b23 = 0
k1 = 3, k2 = 6, k3 = 13, a11 = -5, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -256, b23 = 0
k1 = 3, k2 = 5, k3 = 14, a11 = -5, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -1024, b23 = 0
k1 = 3, k2 = 5, k3 = 8, a11 = -11, a12 = 0, a13 = 0, a21 = 2, a22 = 0, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -2, b13 = -16, b23 = 0
